/dev/ttyACM0
2022-08-25 14:53:23
PY_VAR67PY_VAR68PY_VAR69PY_VAR70PY_VAR710700190007001919070019190700191907001919
0000000000
0700190007001900070019000700190007001900
0000000000
010920220109202201092022010920220109202207000700070007000700
0700190007001900070019000700190007001900
0000000000
080920220809202208092022080920220809202207000700070007000700
0700190007001900070019000700190007001900
0000000000
150920221509202215092022150920221509202207000700070007000700
0700190007001900070019000700190007001900
0000000000
220920222209202222092022220920222209202207000700070007000700
0700190007001900070019000700190007001900
0000000000
290920222909202229092022290920222909202207000700070007000700
0700190007001900070019000700190007001900
0000000000
061020220610202206102022061020220610202207000700070007000700
0700190007001900070019000700190007001900
0000000000
131020221310202213102022131020221310202207000700070007000700
0700190007001900070019000700190007001900
0000000000
201020222010202220102022201020222010202207000700070007000700
0700190007001900070019000700190007001900
0000000000
271020222710202227102022271020222710202207000700070007000700
0700190007001900070019000700190007001900
0000000000
031120220311202203112022031120220311202207000700070007000700
0700190007001900070019000700190007001900
0000000000
101120221011202210112022101120221011202207000700070007000700
HH:MM:SS MO/DY/YEAR LED01 PIR01 LED02 PIR02 LED03 PIR03 LED04 PIR04 LED05 PIR05
14:55:59 08/25/2022 00000 00000 00000 00000 00000 00017 00000 00000 00000 00000  
14:56:59 08/25/2022 00000 00000 00000 00000 00000 00022 00000 00000 00000 00000  
14:57:59 08/25/2022 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
14:58:59 08/25/2022 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
14:59:59 08/25/2022 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
15:00:59 08/25/2022 00000 00000 00000 00000 00000 00011 00000 00000 00000 00000  
15:01:59 08/25/2022 00000 00000 00000 00000 00000 00105 00000 00000 00000 00000  
15:02:59 08/25/2022 00000 00035 00000 00011 00000 00082 00000 00000 00000 00000  
15:03:59 08/25/2022 00000 00022 00000 00000 00000 00097 00000 00000 00000 00000  
15:04:59 08/25/2022 00000 00000 00000 00012 00000 00101 00000 00000 00000 00000  
15:05:59 08/25/2022 00000 00000 00000 00000 00000 00121 00000 00000 00000 00000  
15:06:59 08/25/2022 00000 00012 00000 00011 00000 00116 00000 00000 00000 00000  
15:07:59 08/25/2022 00000 00024 00000 00011 00000 00093 00000 00000 00000 00000  
15:08:59 08/25/2022 00000 00000 00000 00011 00000 00070 00000 00000 00000 00000  
15:09:59 08/25/2022 00000 00000 00000 00000 00000 00073 00000 00000 00000 00000  
15:10:59 08/25/2022 00000 00000 00000 00000 00000 00044 00000 00000 00000 00000  
15:11:59 08/25/2022 00000 00011 00000 00011 00000 00121 00000 00000 00000 00000  
15:12:59 08/25/2022 00000 00068 00000 00066 00000 00121 00000 00000 00000 00000  
15:13:59 08/25/2022 00000 00012 00000 00046 00000 00115 00000 00000 00000 00000  
15:14:59 08/25/2022 00000 00000 00000 00011 00000 00062 00000 00000 00000 00000  
15:15:59 08/25/2022 00000 00000 00000 00000 00000 00022 00000 00000 00000 00000  
15:16:59 08/25/2022 00000 00000 00000 00011 00000 00011 00000 00000 00000 00000  
15:17:59 08/25/2022 00000 00000 00000 00000 00000 00066 00000 00000 00000 00000  
15:18:59 08/25/2022 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
15:19:59 08/25/2022 00000 00000 00000 00000 00000 00043 00000 00000 00000 00000  
15:20:59 08/25/2022 00000 00000 00000 00000 00000 00033 00000 00000 00000 00000  
15:21:59 08/25/2022 00000 00000 00000 00000 00000 00033 00000 00000 00000 00000  
15:22:59 08/25/2022 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
15:23:59 08/25/2022 00000 00000 00000 00000 00000 00022 00000 00000 00000 00000  
15:24:59 08/25/2022 00000 00000 00000 00000 00000 00011 00000 00000 00000 00000  
15:25:59 08/25/2022 00000 00000 00000 00011 00000 00023 00000 00000 00000 00000  
15:26:59 08/25/2022 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
15:27:59 08/25/2022 00000 00000 00000 00000 00000 00022 00000 00000 00000 00000  
15:28:59 08/25/2022 00000 00000 00000 00000 00000 00022 00000 00000 00000 00000  
15:29:59 08/25/2022 00000 00000 00000 00000 00000 00011 00000 00000 00000 00000  
15:30:59 08/25/2022 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
15:31:59 08/25/2022 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
15:32:59 08/25/2022 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
15:33:59 08/25/2022 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
15:34:59 08/25/2022 00000 00000 00000 00000 00000 00012 00000 00000 00000 00000  
15:35:59 08/25/2022 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
15:36:59 08/25/2022 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000  
